epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2109.97,1.19972,0.67891,0.95071,0.82987,0.75615,0.81756,0.50645,1.1571,0.63139,0.93424,0.00029705,0.00029705,0.00029705
43,3158.89,1.20479,0.68047,0.94898,0.82749,0.75949,0.81962,0.50928,1.1509,0.62773,0.9327,0.0002921,0.0002921,0.0002921
44,4206.8,1.19351,0.6738,0.94637,0.82703,0.75939,0.81797,0.50648,1.16408,0.631,0.93418,0.00028715,0.00028715,0.00028715
45,5255.34,1.19209,0.66921,0.94757,0.83012,0.75653,0.81756,0.50906,1.14554,0.62732,0.93146,0.0002822,0.0002822,0.0002822
46,6303.86,1.19231,0.66962,0.94685,0.83249,0.7558,0.81877,0.50967,1.14923,0.62552,0.93044,0.00027725,0.00027725,0.00027725
47,7352.44,1.18496,0.66475,0.94449,0.83427,0.75572,0.8199,0.51009,1.14551,0.62546,0.92992,0.0002723,0.0002723,0.0002723
48,8400.19,1.18186,0.66128,0.94096,0.82947,0.76309,0.82036,0.50993,1.15134,0.62122,0.93073,0.00026735,0.00026735,0.00026735
49,9467.85,1.18604,0.66216,0.94359,0.83185,0.76211,0.82222,0.51065,1.15056,0.62304,0.93137,0.0002624,0.0002624,0.0002624
50,10516.5,1.18282,0.66107,0.94439,0.83361,0.75726,0.81988,0.51144,1.14883,0.62353,0.93103,0.00025745,0.00025745,0.00025745
51,11565.4,1.17362,0.65422,0.9421,0.83412,0.76046,0.82198,0.51156,1.14941,0.62213,0.93082,0.0002525,0.0002525,0.0002525
52,12614.2,1.17829,0.65684,0.94081,0.83511,0.76079,0.82271,0.51143,1.15005,0.62098,0.92962,0.00024755,0.00024755,0.00024755
