epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,29624.2,1.43351,0.99911,1.38146,0.80558,0.7102,0.77909,0.45139,1.41244,0.84758,1.36215,0.0005941,0.0005941,0.0005941
43,31393.2,1.42146,0.98013,1.37564,0.80076,0.72182,0.78305,0.45189,1.42343,0.84939,1.36613,0.0005842,0.0005842,0.0005842
44,33103.1,1.42489,0.97324,1.37516,0.79862,0.72194,0.78402,0.44937,1.42802,0.84798,1.36774,0.0005743,0.0005743,0.0005743
45,34817.2,1.41626,0.96393,1.36989,0.80385,0.72252,0.78633,0.45216,1.42987,0.8339,1.36462,0.0005644,0.0005644,0.0005644
46,36532.3,1.41489,0.95653,1.36818,0.80272,0.72133,0.78681,0.4567,1.40804,0.8351,1.35227,0.0005545,0.0005545,0.0005545
47,38250.7,1.4174,0.95647,1.35997,0.80877,0.72312,0.79022,0.45642,1.41866,0.83019,1.35649,0.0005446,0.0005446,0.0005446
48,39988.5,1.40923,0.94713,1.35579,0.81275,0.72231,0.7913,0.45948,1.40789,0.82792,1.3517,0.0005347,0.0005347,0.0005347
49,41726.6,1.40974,0.94702,1.36214,0.81184,0.72503,0.79174,0.46222,1.39305,0.81962,1.34319,0.0005248,0.0005248,0.0005248
50,43446.8,1.40163,0.93636,1.3533,0.81347,0.72371,0.79302,0.46541,1.38309,0.82056,1.338,0.0005149,0.0005149,0.0005149
51,1794.36,2.18707,2.16808,2.45007,0.73566,0.52208,0.5975,0.31218,1.77131,1.61423,1.90656,0.000505,0.000505,0.000505
52,3620.01,1.702,1.47499,1.67655,0.7283,0.63736,0.68527,0.37727,1.55955,1.08972,1.54459,0.0004951,0.0004951,0.0004951
53,5415.84,1.62107,1.32493,1.56793,0.76035,0.65082,0.71097,0.39609,1.519,1.02261,1.48421,0.0004852,0.0004852,0.0004852
54,7237.81,1.56608,1.24084,1.51062,0.76483,0.67095,0.73064,0.40922,1.49064,0.98386,1.45022,0.0004753,0.0004753,0.0004753
55,9011.1,1.54075,1.18921,1.492,0.77674,0.67727,0.74097,0.41755,1.47464,0.95121,1.43376,0.0004654,0.0004654,0.0004654
56,10837.8,1.52408,1.15149,1.47263,0.77955,0.68594,0.74894,0.42601,1.45699,0.93475,1.41231,0.0004555,0.0004555,0.0004555
57,12649,1.50047,1.11136,1.45438,0.78996,0.69301,0.7565,0.43118,1.44642,0.91139,1.40376,0.0004456,0.0004456,0.0004456
58,14441.7,1.48626,1.0864,1.4367,0.78989,0.69399,0.75846,0.43381,1.44519,0.90202,1.40078,0.0004357,0.0004357,0.0004357
59,16240.4,1.47353,1.06427,1.42743,0.79452,0.69581,0.76236,0.43657,1.44184,0.89148,1.39386,0.0004258,0.0004258,0.0004258
60,18033.8,1.46925,1.04611,1.41915,0.79694,0.69801,0.76733,0.44116,1.43273,0.88113,1.38467,0.0004159,0.0004159,0.0004159
61,19826.1,1.45847,1.04035,1.41137,0.79749,0.70327,0.77256,0.4433,1.43444,0.86866,1.38375,0.000406,0.000406,0.000406
62,21597.5,1.45552,1.02307,1.40287,0.79973,0.70782,0.77582,0.44547,1.4332,0.86315,1.37986,0.0003961,0.0003961,0.0003961
63,23411.8,1.44666,1.00694,1.39514,0.8005,0.70789,0.7781,0.44823,1.42665,0.85283,1.37444,0.0003862,0.0003862,0.0003862
64,25202.1,1.43777,0.99951,1.39351,0.80689,0.71067,0.7826,0.44906,1.42629,0.85108,1.37223,0.0003763,0.0003763,0.0003763
65,1822.07,2.17148,2.15112,2.53709,0.1965,0.67036,0.50075,0.23201,2.12559,2.7292,2.40663,0.0003664,0.0003664,0.0003664
66,3653.45,1.69217,1.44791,1.70152,0.74799,0.62397,0.6866,0.37479,1.60111,1.15405,1.63409,0.0003565,0.0003565,0.0003565
67,5458.18,1.61872,1.31609,1.58661,0.75846,0.65986,0.72012,0.40053,1.51552,1.02787,1.51095,0.0003466,0.0003466,0.0003466
68,7286.42,1.55552,1.22383,1.51883,0.77585,0.67197,0.7371,0.41353,1.48863,0.9845,1.46455,0.0003367,0.0003367,0.0003367
69,9064.74,1.53118,1.17372,1.49652,0.78578,0.68261,0.74927,0.42257,1.4696,0.9514,1.44109,0.0003268,0.0003268,0.0003268
